epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.361,1.31371,1.52338,1.38802,0.82972,0.81985,0.84083,0.55076,1.09953,0.69604,1.16946,0.00332973,0.00332973,0.00332973
2,716.422,1.22234,0.9481,1.30907,0.81216,0.83619,0.85008,0.54719,1.1347,0.81212,1.18186,0.00653113,0.00653113,0.00653113
3,1066.45,1.26979,1.02477,1.35031,0.75635,0.61776,0.68109,0.41416,1.31558,1.18474,1.36997,0.00960054,0.00960054,0.00960054
4,1414.82,1.3244,1.0847,1.38482,0.81649,0.74942,0.80755,0.51509,1.16233,0.84932,1.22615,0.009406,0.009406,0.009406
5,1762.25,1.26553,0.98695,1.34201,0.86416,0.8706,0.86138,0.58136,1.11594,0.66929,1.20892,0.009208,0.009208,0.009208
6,2109.73,1.22015,0.92408,1.31759,0.8745,0.86282,0.87714,0.59848,1.04925,0.62591,1.17889,0.00901,0.00901,0.00901
7,2457.79,1.17905,0.86216,1.2952,0.88376,0.88594,0.90938,0.62902,1.03341,0.57413,1.1526,0.008812,0.008812,0.008812
8,2800.37,1.16028,0.82637,1.28656,0.86887,0.89881,0.91751,0.6438,1.02187,0.56886,1.15504,0.008614,0.008614,0.008614
9,3148.25,1.13438,0.79037,1.25842,0.8984,0.90685,0.90498,0.63701,1.02354,0.51968,1.14864,0.008416,0.008416,0.008416
10,3495.8,1.11728,0.76801,1.2539,0.88415,0.92338,0.90194,0.63479,1.02295,0.52893,1.14319,0.008218,0.008218,0.008218
11,3838.77,1.10061,0.73757,1.23241,0.89839,0.92011,0.93183,0.66421,0.99988,0.50297,1.12512,0.00802,0.00802,0.00802
12,4186.73,1.0807,0.71997,1.2262,0.90024,0.90304,0.91841,0.66494,0.98553,0.48744,1.13126,0.007822,0.007822,0.007822
13,4534.72,1.06097,0.69205,1.20912,0.90005,0.91592,0.92073,0.67094,0.97357,0.48141,1.11063,0.007624,0.007624,0.007624
14,4882.24,1.0523,0.68114,1.20674,0.88869,0.93179,0.91431,0.66989,0.9526,0.46944,1.09708,0.007426,0.007426,0.007426
15,5228.61,1.04008,0.66779,1.19564,0.8851,0.92418,0.92217,0.67425,0.97506,0.46793,1.12352,0.007228,0.007228,0.007228
16,5572.03,1.02774,0.65419,1.19209,0.89066,0.9516,0.92706,0.67833,0.94614,0.45227,1.11677,0.00703,0.00703,0.00703
17,5914.12,1.00547,0.6316,1.18171,0.90771,0.91477,0.92671,0.68453,0.9442,0.44416,1.09409,0.006832,0.006832,0.006832
18,6254.54,1.00619,0.62127,1.18323,0.89382,0.94519,0.93293,0.68811,0.94743,0.44337,1.09505,0.006634,0.006634,0.006634
19,6594.59,0.99102,0.61499,1.16698,0.91251,0.93796,0.93539,0.68733,0.94204,0.43025,1.09498,0.006436,0.006436,0.006436
20,6934.69,0.9761,0.60591,1.15673,0.89812,0.94167,0.93515,0.69855,0.92423,0.42178,1.08653,0.006238,0.006238,0.006238
21,7273.62,0.96726,0.59656,1.15468,0.88428,0.95731,0.92011,0.68881,0.91708,0.41319,1.08047,0.00604,0.00604,0.00604
22,7616.21,0.95942,0.58824,1.1439,0.88035,0.95483,0.92952,0.69871,0.90569,0.41093,1.07612,0.005842,0.005842,0.005842
23,7958.18,0.94719,0.56808,1.13771,0.8899,0.94689,0.92505,0.70505,0.89074,0.41236,1.07069,0.005644,0.005644,0.005644
24,8296.84,0.9429,0.57028,1.13639,0.89061,0.94674,0.93539,0.71067,0.9036,0.40365,1.06899,0.005446,0.005446,0.005446
25,8639.08,0.93395,0.55852,1.13591,0.91896,0.92211,0.9413,0.70823,0.9075,0.39872,1.0824,0.005248,0.005248,0.005248
26,8980.66,0.9232,0.55096,1.13951,0.89719,0.94844,0.94076,0.71704,0.88567,0.39477,1.06483,0.00505,0.00505,0.00505
27,9328.69,0.91168,0.54433,1.12555,0.8893,0.96223,0.93806,0.71456,0.88555,0.38872,1.06289,0.004852,0.004852,0.004852
28,9676.9,0.89708,0.53371,1.11456,0.90191,0.95571,0.94534,0.72584,0.88132,0.37999,1.06877,0.004654,0.004654,0.004654
29,10025.4,0.89043,0.52443,1.10764,0.89226,0.96113,0.94451,0.72732,0.85651,0.3737,1.05096,0.004456,0.004456,0.004456
30,10370,0.88097,0.51629,1.10739,0.90076,0.96036,0.94614,0.72583,0.86717,0.37508,1.05472,0.004258,0.004258,0.004258
31,10716,0.86651,0.50778,1.09661,0.88778,0.95592,0.94424,0.73102,0.85977,0.38139,1.04843,0.00406,0.00406,0.00406
32,11064.2,0.85992,0.49659,1.09191,0.90095,0.94543,0.93893,0.72872,0.86247,0.37506,1.05359,0.003862,0.003862,0.003862
33,11412.5,0.85273,0.49072,1.09167,0.88998,0.95986,0.94513,0.73512,0.85606,0.37569,1.05639,0.003664,0.003664,0.003664
34,11761,0.84004,0.48521,1.08081,0.89502,0.94662,0.94683,0.74055,0.85948,0.36821,1.05771,0.003466,0.003466,0.003466
35,12109.2,0.83706,0.48253,1.08396,0.89455,0.93555,0.94671,0.73339,0.86431,0.36962,1.06472,0.003268,0.003268,0.003268
36,12458.2,0.82501,0.47378,1.06786,0.90141,0.94031,0.95294,0.74027,0.84865,0.36594,1.05017,0.00307,0.00307,0.00307
37,12806.4,0.81727,0.46564,1.06921,0.89403,0.94223,0.94584,0.7381,0.83799,0.36196,1.05153,0.002872,0.002872,0.002872
38,13154.4,0.80177,0.45897,1.06354,0.89392,0.95196,0.94898,0.74395,0.8358,0.36133,1.05161,0.002674,0.002674,0.002674
39,13502.7,0.79409,0.45496,1.06621,0.89014,0.94532,0.95016,0.74933,0.8313,0.36102,1.04987,0.002476,0.002476,0.002476
40,13851.2,0.7829,0.4429,1.05759,0.8951,0.94516,0.94831,0.74884,0.83127,0.35446,1.05045,0.002278,0.002278,0.002278
41,14222.8,0.77118,0.35915,1.03459,0.90108,0.94413,0.95065,0.7524,0.82138,0.35272,1.0452,0.00208,0.00208,0.00208
42,14569.3,0.75113,0.34675,1.019,0.8906,0.9455,0.95161,0.75254,0.82204,0.35673,1.04038,0.001882,0.001882,0.001882
43,14917,0.73393,0.33926,1.00724,0.88335,0.95632,0.95351,0.75443,0.81748,0.35471,1.03114,0.001684,0.001684,0.001684
44,15264.4,0.72355,0.33152,0.99869,0.88552,0.94694,0.95057,0.75132,0.81668,0.35571,1.02744,0.001486,0.001486,0.001486
45,15611.2,0.70509,0.32134,0.99097,0.88596,0.95057,0.9497,0.75023,0.81481,0.35699,1.02823,0.001288,0.001288,0.001288
46,15951.8,0.69307,0.31834,0.98601,0.89911,0.93981,0.95179,0.75522,0.80929,0.35374,1.02818,0.00109,0.00109,0.00109
47,16293.4,0.67894,0.31064,0.98085,0.88713,0.95154,0.95307,0.755,0.80672,0.35337,1.03303,0.000892,0.000892,0.000892
48,16638,0.66287,0.30387,0.97777,0.88563,0.95434,0.95463,0.7588,0.80395,0.35257,1.03762,0.000694,0.000694,0.000694
49,16985.4,0.65194,0.29504,0.97036,0.88971,0.95439,0.95535,0.75972,0.80221,0.35154,1.04014,0.000496,0.000496,0.000496
50,17331.6,0.64234,0.29022,0.96462,0.897,0.95207,0.95487,0.75979,0.80105,0.34954,1.04107,0.000298,0.000298,0.000298
